Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
76,4,0.5000,3.000,12.00,0.1304,0.144070,"YGR250C YGR281W YML002W YML051W"
77,6,0.5333,8.000,27.00,0.1702,0.791209,"YIL103W YBL071W-A YKL191W YER001W YKL048C YLR043C"
78,6,0.5333,8.000,20.00,0.2000,0.467403,"YLR432W YOR360C YGR237C YML056C YHR216W YGR062C"
79,5,0.5000,5.000,13.00,0.1786,0.139038,"YGR081C YMR308C YDR101C YER107C YJL122W"
80,4,0.5000,3.000,16.00,0.1111,0.560306,"YOL087C YBL067C YML105C YCR090C"
81,4,0.5000,3.000,16.00,0.1111,0.560306,"YDL130W YDR251W YJL052W YKR042W"
82,10,0.5111,23.00,57.00,0.2300,0.323076,"YNL308C YDL208W YGL078C YLR175W YHR089C YCR016W YCL059C YMR310C YGR283C YHR072W-A"
83,4,0.5000,3.000,26.00,0.08108,0.968413,"YHR039C YNR051C YER151C YDR415C"
84,4,0.5000,3.000,15.00,0.1154,0.560306,"YDR044W YHR204W YGR087C YCL043C"
85,4,0.5000,3.000,21.00,0.09375,0.994557,"YNL030W YNL206C YDL156W YGL253W"
86,2,1.000,1.000,2.000,0.1429,0.658454,"YDR272W YEL040W"
87,4,0.5000,3.000,11.00,0.1364,0.144070,"YKL028W YAL053W YLR167W YKL096W-A"
88,2,1.000,1.000,2.000,0.1429,0.658454,"YGR130C YGR177C"
89,3,0.6667,2.000,3.000,0.1818,0.406832,"YOR014W YGR123C YLL001W"
90,4,0.5000,3.000,19.00,0.1000,0.883111,"YGL035C YPR164W YAR010C YBR264C"
91,6,0.8000,12.00,12.00,0.3333,0.0420613,"YAL001C YBR123C YDR362C YGR047C YOR110W YPL007C"
92,3,0.6667,2.000,12.00,0.1000,0.500000,"YCR043C YAL023C YEL036C"
93,6,0.5333,8.000,17.00,0.2162,0.205396,"YHR193C YAL021C YDR252W YGR134W YJR011C YDR221W"
94,4,0.5000,3.000,6.000,0.1765,0.560306,"YBR049C YDR490C YCR047C YPL005W"
95,6,0.6000,9.000,15.00,0.2500,0.161821,"YAR007C YNL312W YFL014W YHR164C YJL173C YDR300C"
96,6,0.6667,10.00,14.00,0.2778,0.124763,"YOR217W YNL290W YBR087W YJR068W YOL094C YOR144C"
97,4,0.5000,3.000,4.000,0.2000,0.144070,"YKR072C YBR073W YJR131W YKR056W"
98,5,0.5000,5.000,10.00,0.2000,0.500000,"YLR442C YDR227W YHR137W YLR278C YGL121C"
99,4,0.5000,3.000,11.00,0.1364,0.267852,"YMR304W YDL066W YDR538W YLR436C"
100,4,0.5000,3.000,14.00,0.1200,0.560306,"YER162C YKL005C YKL159C YBR275C"
101,4,0.5000,3.000,11.00,0.1364,0.267852,"YER148W YDL065C YGR246C YHR036W"
102,9,0.5000,18.00,37.00,0.2466,0.640202,"YDL160C YJL124C YLR438C-A YCR077C YNL147W YBL004W YEL015W YNL118C YER112W"
103,4,0.5000,3.000,10.00,0.1429,0.144070,"YGR084C YCR089W YHR061C YIL067C"
104,6,0.5333,8.000,34.00,0.1481,0.687270,"YDL040C YHR013C YDL031W YDR303C YHR154W YOR253W"
105,5,0.6000,6.000,10.00,0.2308,0.371628,"YJR119C YKL035W YJR002W YDL153C YIL091C"
106,4,0.5000,3.000,13.00,0.1250,0.678853,"YLR022C YKL056C YHR082C YNL163C"
107,4,0.5000,3.000,13.00,0.1250,0.795824,"YER147C YDR111C YDR180W YFL016C"
108,4,0.5000,3.000,10.00,0.1429,0.267852,"YML131W YOL154W YDR470C YOR092W"
109,10,0.5111,23.00,16.00,0.3898,0.00469324,"YBR175W YLR015W YAR003W YDR469W YPL138C YHR119W YBR258C YHR029C YLR246W YLL023C"
110,5,0.5000,5.000,5.000,0.2500,0.0806188,"YPL245W YOR173W YDR354W YER065C YLR270W"
111,3,0.6667,2.000,4.000,0.1667,0.681324,"YNL084C YDR369C YIR006C"
112,6,0.5333,8.000,15.00,0.2286,0.372875,"YGL049C YOL139C YKL204W YGR162W YML017W YOR276W"
113,7,0.5714,12.00,14.00,0.3000,0.0876913,"YBR234C YJR065C YDL029W YLR370C YIL062C YKL013C YMR028W"
114,5,0.5000,5.000,5.000,0.2500,0.0979782,"YMR237W YLR330W YNL045W YKR027W YKL029C"
115,5,0.5000,5.000,14.00,0.1724,0.456813,"YMR044W YBR245C YLR095C YLR336C YPL055C"
116,4,0.5000,3.000,10.00,0.1429,0.147203,"YBR072W YDR213W YNL313C YML111W"
117,11,0.6909,38.00,48.00,0.3519,0.00147090,"YGL173C YBL026W YJR022W YMR268C YJL124C YLR438C-A YCR077C YDR378C YER146W YNL147W YER112W"
118,4,0.5000,3.000,15.00,0.1154,0.730764,"YNL330C YGR255C YJL123C YPL059W"
119,4,0.5000,3.000,15.00,0.1154,0.851258,"YPR062W YLR072W YLL026W YLL055W"
120,5,0.5000,5.000,19.00,0.1471,0.936810,"YHL034C YMR014W YNL255C YGR271C-A YOL077C"
121,4,0.5000,3.000,10.00,0.1429,0.434331,"YJR032W YIL038C YIL041W YPL161C"
122,9,0.6111,22.00,18.00,0.3793,0.00796707,"YCL011C YML062C YNL139C YDR138W YHR167W YDL084W YNL004W YOR191W YNL253W"
123,4,0.5000,3.000,4.000,0.2000,0.226949,"YGL157W YGL171W YMR034C YPL211W"
124,4,0.5000,3.000,14.00,0.1200,0.865809,"YFR013W YDL053C YPR067W YGL203C"
125,5,0.5000,5.000,18.00,0.1515,0.883588,"YNL110C YNR053C YPR169W YER006W YPL093W"
126,4,0.5000,3.000,11.00,0.1364,0.620792,"YOR257W YLR180W YJR059W YPL116W"
127,5,0.5000,5.000,12.00,0.1852,0.374406,"YAL016W YGL190C YGR161C YPL152W YOR162C"
128,4,0.5000,3.000,10.00,0.1429,0.440842,"YBR058C YBR112C YPL085W YKR049C"
129,4,0.5000,3.000,11.00,0.1364,0.440467,"YDR457W YLL021W YOL025W YER149C"
130,10,0.5111,23.00,63.00,0.2170,0.484828,"YBR079C YOR052C YMR309C YBR065C YOR361C YDR429C YLR192C YMR146C YPR041W YPL105C"
131,4,0.5000,3.000,10.00,0.1429,0.434331,"YMR048W YOR153W YJL066C YOL154W"
132,12,0.5455,36.00,14.00,0.4865,7.88820e-05,"YPR046W YLR381W YDR254W YGR179C YBR107C YBR211C YDR318W YJR135C YLR315W YPL018W YGR006W YDR383C"
133,4,0.5000,3.000,8.000,0.1579,0.144070,"YDR172W YDL139C YML005W YOL011W"
134,5,0.6000,6.000,11.00,0.2222,0.195834,"YDL145C YGR233C YPL031C YPL219W YPR143W"
135,9,0.7778,28.00,26.00,0.3889,0.00506143,"YMR093W YDR398W YGR128C YJL109C YEL055C YPL126W YHR196W YDR324C YCL036W"
136,4,0.5000,3.000,6.000,0.1765,0.691462,"YHR161C YBR150C YLR106C YDR452W"
137,4,0.5000,3.000,7.000,0.1667,0.144070,"YLR170C YBR019C YBR042C YFR043C"
138,4,0.5000,3.000,9.000,0.1500,0.434331,"YLR435W YBL007C YBR291C YNL207W"
139,4,0.5000,3.000,18.00,0.1034,0.913983,"YML012W YIR022W YML055W YLR314C"
140,4,0.5000,3.000,13.00,0.1250,0.865809,"YLR085C YER168C YLR187W YGL017W"
141,4,0.5000,3.000,16.00,0.1111,0.905709,"YNL055C YBR247C YPR164W YNR050C"
142,8,0.5000,14.00,26.00,0.2500,0.352933,"YML010W YBL046W YNL201C YDR075W YDR225W YDR293C YIL153W YDR173C"
143,4,0.5000,3.000,6.000,0.1765,0.560306,"YBR054W YDL013W YPL263C YKR054C"
144,4,0.5000,3.000,12.00,0.1304,0.841345,"YLR259C YBL016W YPL247C YLR089C"
145,4,0.6667,4.000,8.000,0.2000,0.148742,"YPR171W YHR076W YMR079W YKL091C"
146,5,0.5000,5.000,17.00,0.1563,0.900586,"YIR022W YCR002C YDR507C YMR139W YHR107C"
147,4,0.5000,3.000,10.00,0.1429,0.321147,"YDR171W YJR148W YPR035W YLR048W"
148,4,0.5000,3.000,9.000,0.1500,0.226949,"YLL060C YHR179W YOR074C YMR201C"
149,4,0.5000,3.000,10.00,0.1429,0.620792,"YDL143W YDR188W YGL121C YIL142W"
150,4,0.5000,3.000,9.000,0.1500,0.434331,"YKL142W YKL048C YEL043W YFL054C"
151,4,0.5000,3.000,10.00,0.1429,0.321147,"YAL051W YDR412W YNL325C YOR336W"
152,4,0.5000,3.000,6.000,0.1765,0.561523,"YDR379W YBR094W YKR009C YDL117W"
153,2,1.000,1.000,3.000,0.1250,0.933193,"YLR319C YOR304C-A"
154,4,0.5000,3.000,9.000,0.1500,0.440842,"YPR144C YBR275C YIL149C YPR163C"
155,4,0.5000,3.000,10.00,0.1429,0.440467,"YIR007W YGR240C YMR205C YER043C"
156,5,0.5000,5.000,13.00,0.1786,0.415480,"YDR405W YCR071C YGR076C YLR439W YDR116C"
157,7,0.6667,14.00,13.00,0.3415,0.0189191,"YJL176C YOR290C YPL016W YHL025W YFL049W YNR023W YBR289W"
158,4,0.5000,3.000,12.00,0.1304,0.905709,"YER035W YEL015W YBR142W YOL064C"
159,3,0.6667,2.000,8.000,0.1250,0.500000,"YIR001C YMR198W YER003C"
160,4,0.5000,3.000,10.00,0.1429,0.560306,"YKR037C YGL195W YKL138C-A YFR009W"
161,4,0.5000,3.000,9.000,0.1500,0.620792,"YMR128W YCR047C YDL197C YNR046W"
162,4,0.5000,3.000,13.00,0.1250,0.943077,"YPR045C YDL013W YFR001W YDR320C"
163,4,0.5000,3.000,19.00,0.1000,0.967508,"YOL054W YLR058C YDR234W YEL047C"
164,4,0.5000,3.000,17.00,0.1071,0.955729,"YLR075W YPL220W YDL156W YPL116W"
165,4,0.5000,3.000,6.000,0.1765,0.144070,"YPR116W YDR065W YLL033W YLR091W"
166,4,0.5000,3.000,14.00,0.1200,0.977932,"YMR214W YBL060W YEL030W YDR111C"
167,4,0.5000,3.000,7.000,0.1667,0.147203,"YDR108W YIL078W YPR078C YDL234C"
168,3,0.6667,2.000,10.00,0.1111,0.880704,"YER032W YLR144C YGR136W"
169,4,0.5000,3.000,21.00,0.09375,0.995055,"YER035W YKL035W YDL148C YML093W"
170,4,0.5000,3.000,13.00,0.1250,0.780580,"YOR196C YNL175C YKR086W YJL129C"
171,4,0.5000,3.000,8.000,0.1579,0.434331,"YPR173C YNL265C YLR025W YBL081W"
172,4,0.5000,3.000,7.000,0.1667,0.267852,"YIL069C YKR042W YBL111C YOR328W"
173,2,1.000,1.000,2.000,0.1429,1.00000,"YDL201W YDR165W"
174,8,0.5357,15.00,9.000,0.3750,0.00517006,"YNL051W YER157W YNL041C YGL005C YGL223C YML071C YGR120C YPR105C"
175,4,0.5000,3.000,10.00,0.1429,0.558429,"YPL066W YBR011C YKR043C YLR425W"
176,4,0.5000,3.000,10.00,0.1429,0.560306,"YBR054W YBL084C YOR242C YPL263C"
177,9,0.5000,18.00,11.00,0.3830,0.00443896,"YPL201C YDL185W YGR020C YHR039C-A YPR036W YLR090W YGL215W YMR264W YMR027W"
178,2,1.000,1.000,2.000,0.1429,0.658454,"YBR223C YGL082W"
179,5,0.5000,5.000,11.00,0.1923,0.500000,"YBR278W YNL262W YDR121W YBL023C YHR046C"
180,3,0.6667,2.000,6.000,0.1429,0.326548,"YJL128C YDL006W YDR162C"
181,4,0.5000,3.000,17.00,0.1071,0.915399,"YKR024C YPR045C YFR001W YDR320C"
182,4,0.5000,3.000,9.000,0.1500,0.560306,"YPL209C YJR089W YBR156C YER156C"
183,4,0.5000,3.000,16.00,0.1111,0.949204,"YMR214W YJL047C YBL060W YDR166C"
184,3,0.6667,2.000,12.00,0.1000,0.812087,"YLR203C YJR045C YOR347C"
185,5,0.5000,5.000,8.000,0.2174,0.372037,"YOL068C YBR059C YNL079C YDR310C YOR279C"
186,4,0.5000,3.000,8.000,0.1579,0.321147,"YER049W YDR120C YOR051C YDL077C"
187,5,0.5000,5.000,8.000,0.2174,0.334711,"YFR024C-A YOR042W YMR259C YHR016C YGR108W"
188,4,0.5000,3.000,10.00,0.1429,0.814074,"YLR333C YOR360C YML056C YGR062C"
189,4,0.5000,3.000,15.00,0.1154,0.987210,"YAL036C YDL168W YOR091W YBR142W"
190,4,0.5000,3.000,17.00,0.1071,0.939226,"YDR060W YAL051W YDR412W YNL325C"
191,4,0.5000,3.000,10.00,0.1429,0.780580,"YBR130C YAL029C YKL124W YKL130C"
192,5,0.5000,5.000,8.000,0.2174,0.258952,"YHR062C YNL221C YGR030C YLR145W YNL282W"
193,4,0.5000,3.000,10.00,0.1429,0.841345,"YAL034C YER110C YAR002W YNL122C"
194,4,0.5000,3.000,8.000,0.1579,0.321147,"YNR038W YLR196W YBL039C YGR124W"
195,6,0.5333,8.000,11.00,0.2581,0.161374,"YJR041C YPL178W YMR125W YOR098C YGR202C YKL214C"
196,4,0.5000,3.000,6.000,0.1765,0.267852,"YGR207C YLR265C YNR058W YOR018W"
197,4,0.5000,3.000,21.00,0.09375,0.994300,"YOL059W YBR135W YLR109W YLR135W"
198,5,0.5000,5.000,23.00,0.1316,0.771096,"YIL103W YMR083W YLR043C YBR062C YLR231C"
199,3,0.6667,2.000,2.000,0.2000,0.246781,"YKL058W YFR032C YOR194C"
200,4,0.5000,3.000,11.00,0.1364,0.851258,"YHL014C YLR180W YDR502C YPR074C"
201,8,0.5714,16.00,14.00,0.3478,0.0379393,"YDR449C YLR222C YCR057C YJL069C YLR129W YLR409C YJL147C YGR223C"
202,2,1.000,1.000,1.000,0.1667,0.308538,"YMR258C YKR014C"
203,4,0.5000,3.000,6.000,0.1765,0.267852,"YMR224C YER179W YBL044W YLR051C"
204,5,0.5000,5.000,8.000,0.2174,0.195077,"YLR423C YPR049C YBR197C YDR022C YPL166W"
205,20,0.5105,97.00,92.00,0.4236,9.63812e-05,"YER050C YIL070C YKL155C YDR337W YBL090W YDL045W-A YDR175C YDR347W YGL129C YGR165W YHL004W YIL093C YJR113C YNL137C YNL306W YOR158W YPL118W YBR251W YNR036C YJL063C"
206,4,0.5000,3.000,12.00,0.1304,0.943077,"YNL024C YDR128W YKL058W YOR093C"
207,6,0.6667,10.00,10.00,0.3125,0.0566728,"YDR462W YNL252C YDR322W YNL005C YDR237W YCR003W"
208,6,0.5333,8.000,17.00,0.2162,0.686959,"YPL151C YDR482C YLL036C YLR117C YPR134W YLR132C"
209,2,1.000,1.000,1.000,0.1667,0.308538,"YNL220W YOR187W"
210,4,0.5000,3.000,13.00,0.1250,0.559158,"YDL078C YDR304C YDR248C YHR097C"
211,4,0.5000,3.000,14.00,0.1200,0.987210,"YDL019C YAL026C YKL010C YJL207C"
212,6,0.6667,10.00,10.00,0.3125,0.0227501,"YDL092W YKL122C YPL243W YPL210C YDL051W YPR088C"
213,4,0.5000,3.000,6.000,0.1765,0.226949,"YKL212W YDR181C YMR127C YPL099C"
214,4,0.5000,3.000,8.000,0.1579,0.795824,"YMR239C YDL141W YOL010W YOR049C"
215,5,0.6000,6.000,21.00,0.1622,0.297365,"YJL050W YOL115W YDL175C YER166W YIL079C"
216,4,0.5000,3.000,11.00,0.1364,0.913983,"YJL034W YDL055C YJR104C YMR038C"
217,4,0.5000,3.000,19.00,0.1000,0.987210,"YBR054W YMR072W YER116C YDL013W"
218,4,0.5000,3.000,4.000,0.2000,0.144070,"YMR284W YMR106C YGR052W YIR019C"
219,4,0.5000,3.000,6.000,0.1765,0.434331,"YMR108W YPL247C YDL065C YAR062W"
220,4,1.000,6.000,5.000,0.3158,0.139223,"YBR126C YDR074W YML100W YMR261C"
221,5,0.5000,5.000,11.00,0.1923,0.543187,"YAL019W YJR119C YLR027C YDL153C YIL091C"
222,4,0.6667,4.000,1.000,0.3077,0.0179965,"YLR119W YCL008C YGR206W YPL065W"
223,3,0.6667,2.000,5.000,0.1538,0.326548,"YKL007W YOL065C YOR236W"
224,2,1.000,1.000,1.000,0.1667,0.308538,"YOR009W YGR211W"
225,4,0.5000,3.000,7.000,0.1667,0.647272,"YIL107C YLR089C YGR031W YDR189W"
226,5,0.5000,5.000,7.000,0.2273,0.139038,"YIL033C YJL164C YPL203W YKL101W YBR274W"
227,4,0.5000,3.000,6.000,0.1765,0.226949,"YOR249C YKR064W YGR286C YER004W"
228,4,0.5000,3.000,5.000,0.1875,0.267852,"YKL126W YBR083W YMR104C YOR108W"
229,4,0.5000,3.000,4.000,0.2000,0.144070,"YGL092W YDL116W YGL100W YKL057C"
230,4,0.5000,3.000,7.000,0.1667,0.647272,"YJL020C YBL061C YKL025C YCR105W"
231,5,0.5000,5.000,9.000,0.2083,0.334711,"YPL245W YJL076W YOR173W YPL110C YLR270W"
232,4,0.5000,3.000,11.00,0.1364,0.913983,"YBR218C YJL092W YGL062W YGR054W"
233,4,0.5000,3.000,9.000,0.1500,0.672384,"YFR019W YNL135C YPR166C YFL016C"
234,4,0.5000,3.000,5.000,0.1875,0.267852,"YMR124W YHR158C YER184C YGR238C"
235,4,0.6667,4.000,7.000,0.2105,0.228385,"YOR048C YDR289C YGL246C YDR326C"
236,4,0.5000,3.000,9.000,0.1500,0.841345,"YPL160W YER111C YDL004W YER166W"
237,4,0.5000,3.000,4.000,0.2000,0.144070,"YHR077C YBR023C YDR034C YML052W"
238,8,0.6071,17.00,7.000,0.4250,0.00227101,"YPR056W YDL108W YDR311W YDR460W YER171W YLR005W YPR025C YGR098C"
239,4,0.5000,3.000,10.00,0.1429,0.855930,"YLL050C YLR039C YGL063W YNL138W"
240,6,0.7333,11.00,4.000,0.4074,0.00517394,"YLR384C YHR187W YGR200C YPL086C YPL101W YKL110C"
